#,MHz,a,b,kf,Tb
   0,  870.000,   38.759,   23.167,   0.0039,        1615.1
   1,  868.000,   36.265,   23.653,   0.0037,        1768.6
   2,  866.375,   38.759,   23.167,   0.0039,        1615.1
   3,  861.375,   34.613,   24.170,   0.0044,        1764.5
   4,  856.688,   32.961,   24.686,   0.0046,        1760.5
   5,  852.625,   34.627,   24.652,   0.0053,        1522.2
   6,  848.875,   32.821,   25.303,   0.0056,        1485.9
   7,  843.500,   36.140,   24.753,   0.0062,        1283.5
   8,  839.438,   36.548,   24.771,   0.0065,        1229.3
   9,  835.188,   35.312,   25.206,   0.0067,        1217.2
  10,  832.313,   36.257,   24.978,   0.0068,        1190.6
  11,  829.000,   34.202,   25.222,   0.0067,        1225.4
  12,  827.000,   35.829,   24.712,   0.0065,        1219.6
  13,  821.563,   35.371,   24.706,   0.0062,        1274.9
  14,  815.313,   34.669,   24.739,   0.0058,        1347.8
  15,  811.125,   33.803,   24.716,   0.0061,        1471.3
  16,  807.063,   33.803,   24.716,   0.0070,        1471.3
  17,  804.875,   33.803,   24.716,   0.0070,        1471.3
  18,  802.438,   33.803,   24.716,   0.0070,        1471.3
  19,  798.250,   33.803,   24.716,   0.0069,        1471.3
  20,  794.938,   33.222,   24.739,   0.0063,        1406.6
  21,  790.750,   33.656,   24.751,   0.0066,        1346.3
  22,  783.250,   34.236,   24.727,   0.0079,        1284.3
  23,  779.875,   31.742,   25.214,   0.0074,        1404.8
  24,  776.375,   33.803,   24.716,   0.0075,        1341.8
  25,  771.813,   32.954,   24.785,   0.0071,        1423.0
  26,  767.875,   30.460,   25.271,   0.0058,        1553.1
  27,  767.000,   34.001,   24.298,   0.0056,        1490.3
  28,  760.813,   33.911,   24.203,   0.0052,        1408.0
  29,  756.000,   31.507,   24.785,   0.0051,        1485.0
  30,  751.813,   31.940,   24.797,   0.0055,        1558.1
  31,  750.313,   32.961,   24.686,   0.0058,        1464.1
  32,  745.625,   31.333,   25.196,   0.0058,        1755.9
  33,  742.813,   31.358,   25.190,   0.0054,        3017.6
  34,  738.313,   32.077,   25.250,   0.0060,        1933.9
  35,  731.313,   32.249,   25.208,   0.0065,        1343.5
  36,  730.438,   29.175,   25.718,   0.0062,        1675.5
  37,  727.000,   30.321,   25.188,   0.0069,        2771.0
  38,  720.188,   29.332,   25.194,   0.0047,        2109.6
  39,  716.500,   30.722,   24.625,   0.0043,        1675.8
  40,  712.688,   34.288,   23.646,   0.0040,        1427.9
  41,  708.500,   31.793,   24.132,   0.0043,        1564.8
  42,  704.750,   30.306,   24.706,   0.0041,        1515.2
  43,  699.313,   29.332,   25.194,   0.0044,        1437.1
  44,  695.813,   32.815,   24.702,   0.0058,        1200.7
  45,  691.875,   29.346,   25.677,   0.0059,        1251.9
  46,  687.688,   31.669,   25.232,   0.0062,        1148.6
  47,  686.000,   29.583,   25.736,   0.0061,        1205.7
  48,  682.250,   29.297,   25.689,   0.0059,        1253.3
  49,  676.813,   28.259,   25.707,   0.0053,        1368.7
  50,  672.813,   31.531,   24.779,   0.0052,        1323.3
  51,  667.313,   30.665,   24.755,   0.0047,        1444.3
  52,  666.688,   30.575,   24.660,   0.0043,        1365.8
  53,  661.438,   30.142,   24.648,   0.0049,        1565.2
  54,  657.938,   30.575,   24.660,   0.0049,        1365.8
  55,  654.813,   30.836,   24.714,   0.0053,        1438.8
  56,  649.063,   29.209,   25.224,   0.0055,        1440.9
  57,  643.875,   31.971,   24.692,   0.0054,        1461.7
  58,  642.938,   29.495,   25.271,   0.0053,        2030.4
  59,  638.625,   31.147,   24.755,   0.0069,        5117.2
  60,  631.250,   29.086,   25.254,   0.0058,        3038.3
  61,  629.063,   29.086,   25.254,   0.0057,        1617.0
  62,  626.563,   31.147,   24.755,   0.0061,        1698.2
  63,  623.000,   31.294,   24.720,   0.0064,        2231.6
  64,  617.875,   31.123,   24.761,   0.0070,        2453.8
  65,  614.125,   31.270,   24.726,   0.0057,        1545.0
  66,  610.625,   30.403,   24.702,   0.0054,        1371.1
  67,  605.688,   30.313,   24.607,   0.0051,        1421.7
  68,  599.188,   28.171,   25.242,   0.0052,        1440.1
  69,  597.688,   28.776,   25.212,   0.0055,        1374.4
  70,  591.750,   31.955,   24.929,   0.0066,        1112.2
  71,  587.625,   31.211,   25.226,   0.0071,        1199.6
  72,  585.813,   31.644,   25.238,   0.0074,        1149.3
  73,  582.563,   31.816,   25.196,   0.0069,        1281.4
  74,  578.000,   31.407,   25.178,   0.0073,        1919.2
  75,  574.125,   30.583,   25.242,  -0.0308,        5988.9
  76,  570.188,   31.973,   24.672,  -0.0043,       13761.4
  77,  566.188,   30.135,   24.747,   0.0012,       39783.5
  78,  561.250,   28.884,   24.700,   0.0010,       16560.6
  79,  556.938,   32.507,   23.590,   0.0030,        3477.9
  80,  552.063,   32.507,   23.590,   0.0050,        1728.2
  81,  550.063,   30.536,   24.184,   0.0044,        1736.4
  82,  545.563,   29.726,   24.729,   0.0050,        1588.2
  83,  540.563,   29.912,   25.171,   0.0057,        1253.6
  84,  535.875,   32.815,   24.702,   0.0065,        1200.7
  85,  535.000,   33.320,   24.716,   0.0080,        1140.9
  86,  528.000,   34.743,   24.722,   0.0084,        1119.3
  87,  524.813,   33.073,   25.145,   0.0105,        1268.6
  88,  520.750,   32.468,   25.174,   0.0085,        1084.9
  89,  515.938,   32.200,   25.220,   0.0072,        1097.9
  90,  514.688,   31.333,   25.196,   0.0066,        1196.2
  91,  511.000,   29.013,   25.271,   0.0055,        1447.0
  92,  503.188,   31.997,   24.666,   0.0053,        1469.3
  93,  499.750,   31.997,   24.666,   0.0066,        1611.3
  94,  498.875,   27.099,   25.734,   0.0061,        2193.8
  95,  494.688,   28.751,   25.218,   0.0069,        3467.6
  96,  490.563,   27.734,   24.239,  -0.0210,        7727.7
  97,  486.063,   23.868,   21.577,   0.2764,        7839.4
  98,  482.188,   23.011,   21.765,   0.0040,        6445.2
  99,  476.625,   20.550,   22.127,   0.0065,        8860.9
 100,  473.875,   20.526,   22.132,   0.0076,        4782.1
 101,  470.375,   18.528,   23.102,   0.0056,        3706.2
 102,  466.875,   22.329,   23.252,   0.0046,        2933.8
 103,  459.250,   25.962,   23.715,   0.0053,        2589.5
 104,  459.000,   28.845,   24.223,   0.0048,        1669.5
 105,  454.750,   28.737,   24.735,   0.0045,        1585.5
 106,  450.313,   26.956,   24.680,   0.0045,        1582.8
 107,  443.875,   21.816,   24.718,   0.0049,        1748.1
 108,  441.750,   19.558,   25.633,   0.0064,        1640.0
 109,  435.188,   20.424,   25.657,   0.0082,        1506.9
 110,  433.000,   23.620,   25.137,   0.0100,        1432.3
 111,  430.625,   22.082,   25.742,   0.0097,        1513.4
 112,  425.313,   24.748,   25.214,   0.0094,        1263.7
 113,  421.438,   24.601,   25.250,   0.0086,        1158.7
 114,  418.375,   23.931,   25.178,   0.0067,        1256.7
 115,  411.938,   24.758,   24.725,   0.0066,        1453.9
 116,  407.563,   23.916,   24.696,   0.0060,        1586.4
 117,  406.250,   23.901,   24.213,   0.0054,        2021.3
 118,  400.688,   25.553,   23.697,   0.0057,        2710.4
 119,  398.313,   23.640,   24.160,   0.0038,        4171.7
 120,  394.438,   23.092,   24.759,   0.0072,        5181.8
 121,  389.188,   22.959,   25.277,   0.0056,        1461.0
 122,  384.875,   25.206,   25.220,   0.0085,        1324.2
 123,  380.063,   24.231,   25.709,   0.0091,        1260.5
 124,  375.813,   22.146,   26.213,   0.0097,        1439.2
 125,  372.688,   21.558,   26.335,   0.0107,        1596.8
 126,  370.938,   21.272,   26.288,   0.0076,        1521.7
 127,  365.750,   25.981,   25.169,   0.0073,        1251.7
 128,  362.250,   22.352,   25.677,   0.0057,        1644.4
 129,  358.813,   24.241,   25.220,   0.0050,        1732.1
 130,  354.125,   24.674,   25.232,   0.0056,        1815.7
 131,  347.875,   23.219,   25.701,   0.0071,        1804.0
 132,  346.688,   24.158,   25.726,   0.0066,        1379.3
 133,  339.250,   24.877,   25.786,   0.0081,        1272.1
 134,  337.750,   24.052,   25.849,   0.0064,        1345.3
 135,  331.688,   27.134,   25.240,   0.0067,        1208.6
 136,  329.875,   26.872,   25.186,   0.0063,        1256.6
 137,  326.688,   26.725,   25.222,   0.0067,        1379.8
 138,  321.813,   24.812,   25.685,   0.0056,        1571.2
 139,  318.313,   25.073,   25.738,   0.0052,        1651.3
 140,  314.563,   25.482,   25.756,   0.0053,        1583.9
 141,  311.000,   25.726,   25.716,   0.0053,        1567.4
 142,  306.875,   25.024,   25.750,   0.0053,        1805.6
 143,  299.313,   24.852,   25.792,   0.0046,        1658.5
 144,  295.438,   27.780,   25.317,   0.0055,        1334.9
 145,  291.688,   26.152,   25.827,   0.0051,        1225.8
 146,  289.688,   27.606,   25.728,   0.0055,        1106.1
 147,  283.125,   31.235,   25.220,   0.0066,        1001.0
 148,  279.500,   29.175,   25.718,   0.0063,        1052.9
 149,  278.000,   28.350,   25.782,   0.0059,        1114.2
 150,  273.250,   31.973,   24.672,   0.0050,        1194.6
 151,  270.625,   29.726,   24.729,   0.0032,        1588.2
 152,  263.438,   30.274,   24.130,   0.0025,        1810.0
 153,  259.750,   31.926,   23.614,   0.0020,        2254.7
 154,  256.688,   28.042,   24.670,   0.0024,        2328.0
 155,  254.625,   32.636,   24.162,   0.0036,        1768.9
 156,  251.000,   33.664,   24.633,   0.0051,        1527.6
 157,  243.188,   32.944,   25.273,   0.0070,        1354.5
 158,  240.625,   34.202,   25.222,   0.0102,         914.0
 159,  237.125,   36.843,   24.700,   0.0095,         926.0
 160,  234.875,   35.804,   24.718,   0.0071,        1220.3
 161,  230.313,   31.570,   25.256,   0.0038,        2899.1
 162,  223.063,   30.959,   24.684,   0.0051,        2799.6
 163,  219.250,   28.810,   24.718,   0.0031,        1947.4
 164,  217.813,   30.438,   24.207,   0.0044,        2149.8
 165,  211.375,   30.438,   24.207,   0.0049,        1956.9
 166,  207.125,   28.835,   24.712,   0.0063,        2134.2
 167,  203.375,   28.598,   24.652,   0.0038,        2222.6
 168,  202.938,   28.475,   24.682,   0.0014,        3531.9
 169,  195.375,   29.659,   24.648,   0.0022,        1637.3
 170,  195.000,   28.653,   25.242,   0.0021,        1259.3
 171,  187.188,   28.392,   25.188,   0.0019,        1309.5
 172,  183.313,   26.676,   25.234,   0.0017,        1654.3
